FREQ,Frequency,REF_AREA,Territory,DATA_TYPE,Indicator,PERPETRATOR,Perpetrator (DESC),TYPE_VIOLENCE,Type of violence,MARITAL_STATUS_WOMAN,Marital status woman,Time (TIME_PERIOD),Observation,OBS_STATUS,Observation status
A,Annual,IT,Italy,W16_70_PNP_LT,Women aged 16-70 years who have suffered violence lifetime (% of women 16-70 years),ANY_P_NOP,Any man (partner and non-partner),PHSEX,Physical or sexual,SIN,Single persons (never married and never in same sex civil partnership),2014,36.1,,
A,Annual,IT,Italy,W16_70_PNP_LT,Women aged 16-70 years who have suffered violence lifetime (% of women 16-70 years),ANY_P_NOP,Any man (partner and non-partner),PHSEX,Physical or sexual,MAR,Married persons,2014,26.6,,
A,Annual,IT,Italy,W16_70_PNP_LT,Women aged 16-70 years who have suffered violence lifetime (% of women 16-70 years),ANY_P_NOP,Any man (partner and non-partner),PHSEX,Physical or sexual,DIV,Divorced persons,2014,51.4,,
A,Annual,IT,Italy,W16_70_PNP_LT,Women aged 16-70 years who have suffered violence lifetime (% of women 16-70 years),ANY_P_NOP,Any man (partner and non-partner),PHSEX,Physical or sexual,WID,Widowed persons,2014,27.8,,
A,Annual,IT,Italy,W16_70_PNP_LT,Women aged 16-70 years who have suffered violence lifetime (% of women 16-70 years),ANY_P_NOP,Any man (partner and non-partner),PHSEX,Physical or sexual,ALL,Total,2014,31.5,,
A,Annual,IT,Italy,W16_70_PNP_LT,Women aged 16-70 years who have suffered violence lifetime (% of women 16-70 years),ANY_P_NOP,Any man (partner and non-partner),PHY,Physical violence,SIN,Single persons (never married and never in same sex civil partnership),2014,22.9,,
A,Annual,IT,Italy,W16_70_PNP_LT,Women aged 16-70 years who have suffered violence lifetime (% of women 16-70 years),ANY_P_NOP,Any man (partner and non-partner),PHY,Physical violence,MAR,Married persons,2014,15.8,,
A,Annual,IT,Italy,W16_70_PNP_LT,Women aged 16-70 years who have suffered violence lifetime (% of women 16-70 years),ANY_P_NOP,Any man (partner and non-partner),PHY,Physical violence,DIV,Divorced persons,2014,41.7,,
A,Annual,IT,Italy,W16_70_PNP_LT,Women aged 16-70 years who have suffered violence lifetime (% of women 16-70 years),ANY_P_NOP,Any man (partner and non-partner),PHY,Physical violence,WID,Widowed persons,2014,20,,
A,Annual,IT,Italy,W16_70_PNP_LT,Women aged 16-70 years who have suffered violence lifetime (% of women 16-70 years),ANY_P_NOP,Any man (partner and non-partner),PHY,Physical violence,ALL,Total,2014,20.2,,
A,Annual,IT,Italy,W16_70_PNP_LT,Women aged 16-70 years who have suffered violence lifetime (% of women 16-70 years),ANY_P_NOP,Any man (partner and non-partner),SEXVIOL,Sexual violence,SIN,Single persons (never married and never in same sex civil partnership),2014,23.9,,
A,Annual,IT,Italy,W16_70_PNP_LT,Women aged 16-70 years who have suffered violence lifetime (% of women 16-70 years),ANY_P_NOP,Any man (partner and non-partner),SEXVIOL,Sexual violence,MAR,Married persons,2014,18.2,,
A,Annual,IT,Italy,W16_70_PNP_LT,Women aged 16-70 years who have suffered violence lifetime (% of women 16-70 years),ANY_P_NOP,Any man (partner and non-partner),SEXVIOL,Sexual violence,DIV,Divorced persons,2014,33.5,,
