FREQ,Frequency,REF_AREA,Territory,DATA_TYPE,Indicator,SEX,Sex (DESC),AGE,Age (DESC),EDU_LEV_HIGHEST,Highest level of education attained,,Time (TIME_PERIOD),Observation,OBS_STATUS,Observation status
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y15-24,15-24 years,13,'No educational degree, primary and lower secondary school certificate',2021,9.831454,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y15-24,15-24 years,13,'No educational degree, primary and lower secondary school certificate',2022,10.582486,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y15-24,15-24 years,7,Upper and post secondary, doctoral and specialization courses)',2021,20.87199,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y15-24,15-24 years,7,Upper and post secondary, doctoral and specialization courses)',2022,25.966425,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y15-24,15-24 years,11,'Tertiary (university, primary and lower secondary school certificate',2021,34.824442,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y15-24,15-24 years,11,'Tertiary (university, primary and lower secondary school certificate',2022,37.640661,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y15-24,15-24 years,99,Total, doctoral and specialization courses)',2021,47.981442,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y15-24,15-24 years,99,Total, doctoral and specialization courses)',2022,53.675201,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y18-29,18-29 years,13,'No educational degree, primary and lower secondary school certificate',2021,19.030455,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y18-29,18-29 years,13,'No educational degree, primary and lower secondary school certificate',2022,19.903539,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y18-29,18-29 years,7,Upper and post secondary, doctoral and specialization courses)',2021,47.981442,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y18-29,18-29 years,7,Upper and post secondary, doctoral and specialization courses)',2022,53.675201,,
